Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
0700Geförderte Vereinsbaumaßnahmen,,,,,,,,,,,
Auszahlungvonaktivierbaren Zuwendungen,"731.533,27",1.886.997,682.000,600.000,0,0,600.000,600.000,600.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"731.533,27-",1.886.997-,682.000-,600.000-,,,600.000-,600.000-,600.000-,,
