0610Beschaffungen Berufskollegs,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"118.211,84",653.670,415.000,415.000,0,0,415.000,415.000,415.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"118.211,84-",653.670-,415.000-,415.000-,,,415.000-,415.000-,415.000-,,
