InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"1.716,91",2.500,2.000,2.000,0,0,2.000,2.000,2.000,,
Saldo(Einzahlungen./. Auszahlungen),"1.716,91-",2.500-,2.000-,2.000-,,,2.000-,2.000-,2.000-,,
