"4228AmDornbusch, nordwestl./südl.DEK,Bp578",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"3.033.585,77",1.371.965,0,0,0,0,0,0,0,6.204.936,6.954.936
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"3.033.585,77-",1.371.965-,0,0,,,0,0,0,6.204.936-,6.954.936-
