Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
5080KitasüdlichLangebusch (Moldrickx),,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"3.159.616,52",3.165.501,0,0,0,0,0,0,0,8.148.359,8.148.359
Auszahlungvonaktivierbaren Zuwendungen,"0,00",480.000,0,0,0,0,0,0,0,480.000,480.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"3.159.616,52-",3.645.501-,0,0,,,0,0,0,8.628.359-,8.628.359-
