Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4133WersePflege-und Entwicklungskonzept,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",400.000,500.000,1.100.000,,,700.000,0,0,1.218.406,4.918.406
AuszahlungfürBaumaßnahmen,"36.136,97",1.008.325,800.000,1.500.000,2.500.000,0,1.000.000,0,0,2.434.150,10.534.150
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"36.136,97-",608.325-,300.000-,400.000-,,,300.000-,0,0,1.215.744-,5.615.744-
