Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
"5810ÖG/SPAlbachtenOst, Bp.572",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"15.259,73",387.691,590.000,100.000,100.000,1.000.000,2.380.000,3.000.000,0,460.290,6.530.290
Verpflichtungsermächtigung2026zuLasten,,,,100.000,,,0,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,1.000.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"15.259,73-",387.691-,590.000-,100.000-,,,2.380.000-,3.000.000-,0,460.290-,6.530.290-
