Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0100Beschaffungen,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"2.099,16",4.630,198.130,57.630,0,0,4.630,4.630,4.630,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"2.099,16-",4.630-,198.130-,57.630-,,,4.630-,4.630-,4.630-,,
