4242Stadthafen1,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"93.000,00",1.941,0,0,0,0,50.000,50.000,50.000,414.047,4.164.047
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"93.000,00-",1.941-,0,0,,,50.000-,50.000-,50.000-,414.047-,4.164.047-
