0080WasseristLeben,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,13.800,0,,,0,0,0,,
AuszahlungfürBaumaßnahmen,"16.260,57",100.078,100.000,100.000,100.000,100.000,100.000,0,0,,
Verpflichtungsermächtigung2026zuLasten,,,,100.000,,,0,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,100.000,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"16.260,57-",100.078-,86.200-,100.000-,,,100.000-,0,0,,
