4720Planungs-u.Baukosten Erw.Schulgebäude,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"358.698,52",7.384.278,7.000.000,21.000.000,1.000.000,0,9.874.880,4.369.880,0,9.009.490,51.254.250
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"358.698,52-",7.384.278-,7.000.000-,21.000.000-,,,9.874.880-,4.369.880-,0,9.009.490-,51.254.250-
