4710NeubauFeuer-und Rettungswache3,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"930.157,57",2.078.412,8.376.000,16.012.000,27.000.000,0,11.844.880,3.084.260,0,3.657.863,42.975.003
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"930.157,57-",2.078.412-,8.376.000-,16.012.000-,,,11.844.880-,3.084.260-,0,3.657.863-,42.975.003-
