Produktbereiche/Produktgruppen,Ordentliche Erträge,Ordentliche,ordentliches,Finanz-,Ergebnis der lfd. Verw- tätigkeit,Außer- ordentl. Ergebnis,Ergebnis des
,,Aufwendungen,Ergebnis,ergebnis,,,Teilhaushaltes*
,EUR,EUR,EUR,EUR,EUR,EUR,EUR
0101 Bezirksvertretungen/frei verfügb. Mittel,,"404.560,00","404.560,00-",,"404.560,00-",,"404.560,00-"
"0102 GF für polit. Gremien, internat. Beziehungen","267.850,00","5.885.500,00","5.617.650,00-",,"5.617.650,00-",,"5.617.650,00-"
"0103 OB, BM und Verwaltungsführung","221.860,00","9.224.940,00","9.003.080,00-",,"9.003.080,00-",,"9.003.080,00-"
0104 Gleichstellung aller Geschlechter,"4.370,00","2.272.360,00","2.267.990,00-",,"2.267.990,00-",,"2.267.990,00-"
0105 Personal- u. Schwerbehindertenvertretung,"211.350,00","2.074.440,00","1.863.090,00-",,"1.863.090,00-",,"1.863.090,00-"
0106 Wirtschaftlichkeitsprüfung und Revision,"63.180,00","2.162.740,00","2.099.560,00-",,"2.099.560,00-",,"2.099.560,00-"
0107 Public Relations,"62.060,00","1.831.220,00","1.769.160,00-",,"1.769.160,00-",,"1.769.160,00-"
0108 Personal- und Organisationsmanagement,"3.154.710,00","24.477.330,00","21.322.620,00-",,"21.322.620,00-",,"21.322.620,00-"
0109 Finanz- und Beteiligungsmanagement,"2.003.200,00","16.381.270,00","14.378.070,00-",,"14.378.070,00-",,"14.378.070,00-"
0110 Recht,"684.190,00","2.988.180,00","2.303.990,00-",,"2.303.990,00-",,"2.303.990,00-"
0111 Immobilienmanagement,"38.333.200,00","128.730.470,00","90.397.270,00-",,"90.397.270,00-",,"90.397.270,00-"
0113 Zentrale Dienste,"1.557.710,00","20.758.060,00","19.200.350,00-",,"19.200.350,00-",,"19.200.350,00-"
0114 Stiftungsmanagement,"500.000,00","520.930,00","20.930,00-",,"20.930,00-",,"20.930,00-"
0115 IT-Management (citeq),,"8.000,00","8.000,00-",,"8.000,00-",,"8.000,00-"
0116 Migrations- und Integrationsmanagement,"599.800,00","1.352.920,00","753.120,00-",,"753.120,00-",,"753.120,00-"
01 Innere Verwaltung,"47.663.480,00","219.072.920,00","171.409.440,00-",,"171.409.440,00-",,"171.409.440,00-"
0201 Ordnungsrechtliche Angelegenheiten,"492.210,00","7.358.520,00","6.866.310,00-",,"6.866.310,00-",,"6.866.310,00-"
0202 Gewerberechtliche Angelegenheiten,"1.330.000,00","2.282.730,00","952.730,00-",,"952.730,00-",,"952.730,00-"
0203 Straßenverkehrsrechtliche Angelegenheit,"16.999.000,00","12.638.740,00","4.360.260,00",,"4.360.260,00",,"4.360.260,00"
0204 Bürgerangelegenheiten,"5.981.410,00","9.330.350,00","3.348.940,00-",,"3.348.940,00-",,"3.348.940,00-"
0205 Standesamtsangelegenheiten,"474.030,00","2.007.570,00","1.533.540,00-",,"1.533.540,00-",,"1.533.540,00-"
0206 Ausländerangelegenheiten,"699.070,00","5.143.310,00","4.444.240,00-",,"4.444.240,00-",,"4.444.240,00-"
0207 Statistik,"550,00","714.290,00","713.740,00-",,"713.740,00-",,"713.740,00-"
0208 Wahlen,"489.500,00","873.130,00","383.630,00-",,"383.630,00-",,"383.630,00-"
0209 Brandschutz & feuerwehrt.Hilfeleistungen,"2.072.010,00","43.495.150,00","41.423.140,00-",,"41.423.140,00-",,"41.423.140,00-"
0210 Rettungsdienst,"33.155.100,00","35.048.940,00","1.893.840,00-",,"1.893.840,00-",,"1.893.840,00-"
0211 Veterinärwesen & Lebensmittelüberwachung,"189.020,00","3.313.940,00","3.124.920,00-",,"3.124.920,00-",,"3.124.920,00-"
02 Sicherheit und Ordnung,"61.881.900,00","122.206.670,00","60.324.770,00-",,"60.324.770,00-",,"60.324.770,00-"
0301 Leistungen für Schulen,"3.608.700,00","43.173.030,00","39.564.330,00-",,"39.564.330,00-",,"39.564.330,00-"
0302 Zentr.Leist. f. am Schulleben Beteiligte,"747.820,00","15.786.720,00","15.038.900,00-",,"15.038.900,00-",,"15.038.900,00-"
03 Schulträgeraufgaben,"4.356.520,00","58.959.750,00","54.603.230,00-",,"54.603.230,00-",,"54.603.230,00-"
