4650SportanlageGroßeWiese,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",300.000,750.000,1.000.000,1.000.000,2.087.500,2.087.500,0,0,300.000,4.137.500
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",300.000-,750.000-,1.000.000-,,,2.087.500-,0,0,300.000-,4.137.500-
