4288MartiniviertelMikroKiez,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,1.500.000,1.500.000,,,1.112.000,0,0,44.445,4.156.445
AuszahlungfürBaumaßnahmen,"16.683,69",511.043,760.000,2.200.000,4.000.000,0,2.700.000,1.408.000,0,527.727,7.595.727
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"16.683,69-",511.043-,740.000,700.000-,,,1.588.000-,1.408.000-,0,483.282-,3.439.282-
