Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
5490San./Umgest.Wegefl. Bez.Mi.südl.Ber.,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"27,96-",50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,298.019,598.019
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"27,96",50.000-,50.000-,50.000-,,,50.000-,50.000-,50.000-,298.019-,598.019-
