Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
131,0503,50,ASGAM,Soziokultur Achtermannstraße e.V.,Sozialhilfeberatung,199.820,178.580,0,21.240,203.390,182.150,0,21.240,dem Grunde nach,31.12.2030
132,0503,50,ASGAM,Hospizbewegung Münster e.V.,Hospizbewegung,51.110,39.760,0,11.350,51.910,40.560,0,11.350,dem Grunde nach,31.12.2032
133,0503,50,ASGAM,Soziokultur Achtermannstraße e.V.,Arbeitslosenberatung,60.420,54.940,0,5.480,61.520,56.040,0,5.480,dem Grunde nach,31.12.2030
134,0503,50,ASGAM,Caritasverband für die Stadt Münster,Sozialberatung Kinderhaus Brüningheide,78.540,71.630,0,6.910,79.970,73.060,0,6.910,dem Grunde nach,31.12.2029
135,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,128.070,106.890,0,21.180,130.210,109.030,0,21.180,dem Grunde nach,31.12.2033
136,0503,50,ASGAM,Caritasverband für die Stadt Münster,Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,339.160,281.760,0,57.400,344.800,287.400,0,57.400,dem Grunde nach,31.12.2033
137,0503,50,ASGAM,Der Paritätische Münster,Selbsthilfekontaktstelle und Verbandsarbeit,218.320,193.910,0,24.410,222.200,197.790,0,24.410,dem Grunde nach,31.12.2033
138,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,141.130,112.720,0,28.410,143.620,114.970,0,28.640,dem Grunde nach,31.12.2033
139,0503,50,ASGAM,DRK Kreisverband Münster e.V.,Sozialarbeit im Stadtteil inkl. Hausbesuche über 75 Jahre,106.020,85.840,0,20.180,107.740,87.560,0,20.180,dem Grunde nach,31.12.2033
140,0503,50,ASGAM,Arbeitskreis International e.V.,Beratung und Begleitung zur Überwindung von Alltagsproblemen,49.710,29.280,0,20.430,50.300,29.870,0,20.430,freiwillig,31.12.2029
141,0503,50,ASGAM,Kaktus Münster e.V.,"Beratung, Begleitung und Begegnungsangebote",54.260,31.420,0,22.840,54.890,32.050,0,22.840,freiwillig,31.12.2029
142,0503,50,ASGAM,Begegnungsangebote für Seniorinnen und Senioren,Begegnungsstättenförderung gemäß Richtlinien,61.430,0,0,61.430,61.430,0,0,61.430,dem Grunde nach,31.12.2030
143,0503,50,ASGAM,Frauenhaus und Beratung e.V.,ad-hoc Hotelkosten in Einzelfällen für von Gewalt betroffene Frauen und deren Kinder,2.000,0,0,2.000,2.000,0,0,2.000,freiwillig,31.12.2032
144,0503,50,ASGAM,Verbraucherzentrale NRW,Schuldnerberatung,91.340,82.200,0,9.130,95.230,86.100,0,9.130,dem Grunde nach,31.12.2031
145,0503,50,ASGAM,Verbraucherzentrale NRW,Verbraucherberatung,223.430,201.090,0,22.340,230.270,207.930,0,22.340,dem Grunde nach,31.12.2031
146,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Schuldnerberatung,74.220,67.490,0,6.730,75.570,68.840,0,6.730,dem Grunde nach,31.12.2031
147,0503,50,ASGAM,Caritasverband für die Stadt Münster,Schuldnerberatung,74.220,67.490,0,6.730,75.570,68.840,0,6.730,dem Grunde nach,31.12.2031
148,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Schuldnerberatung,74.220,67.490,0,6.730,75.570,68.840,0,6.730,dem Grunde nach,31.12.2031
149,0503,50,ASGAM,Treffpunkt Waldsiedlung e.V.,"Büro- und Vereinsarbeit ""Treffpunkt Waldsiedlung"" sowie Mietkosten für das Objekt Bonnenkamp 73",55.000,17.830,0,37.170,55.360,18.190,0,37.170,dem Grunde nach,31.12.2028
150,0503,50,ASGAM,Arbeitslose brauchen Medien e.V.,Gemeinnützige Vereinsarbeit,28.980,19.440,0,9.540,30.600,21.020,0,9.580,dem Grunde nach,31.12.2028
151,0503,50,ASGAM,Internationaler Kulturverein Atrium e.V.,"Stromkosten ""Atrium"", Internationales Stadtteil- und Kulturzentrum",3.600,0,0,3.600,3.600,0,0,3.600,dem Grunde nach,31.12.2029
152,0503,50,ASGAM,Caritasverband für die Stadt Münster,"Quartiersentwicklung Hiltrup-Ost: ""Emmerbach- Treff""",62.780,40.480,0,22.300,76.670,47.890,0,28.780,dem Grunde nach,31.12.2031
153,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen","Service- und Kooperationsstelle ""Südviertelbüro""",28.330,14.400,0,13.930,28.620,14.690,0,13.930,dem Grunde nach,31.12.2030
154,0503,50,ASGAM,Begegnungszentrum Kinderhaus e.V.,Integrationsarbeit vor Ort innerhalb des Maßnahmeprogramms Kinderhaus-Brüningheide,53.770,50.170,0,3.600,54.770,51.170,0,3.600,dem Grunde nach,31.12.2029
155,0503,50,ASGAM,Kinderhauser Arbeitsloseninitiative KAI e.V.,"""Wir verstehen uns"" - Nachhilfe und Sprachkurse innerhalb des Maßnahmeprogramms Kinderhaus- Brüningheide",33.410,33.410,0,0,34.080,34.080,0,0,dem Grunde nach,31.12.2029
156,0503,50,ASGAM,Internationaler Kulturverein ATRIUM e.V.,"""Kulturprojekte: Interkulturelle Veranstaltungsreihe ATRIUM e.V."" innerhalb des Maßnahmeprogramms Kinderhaus-Brüningheide",2.000,0,0,2.000,2.000,0,0,2.000,dem Grunde nach,31.12.2029
157,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Schuldnerberatung innerhalb des Maßnahmeprogramms Kinderhaus-Brüningheide,49.110,45.510,0,3.600,50.020,46.420,0,3.600,dem Grunde nach,31.12.2029
158,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen",Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55.640,50.180,0,5.460,56.640,51.180,0,5.460,dem Grunde nach,31.12.2032
159,0503,50,ASGAM,Betreuungsverein Lebenshilfe Münster e.V.,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,28.430,25.220,0,3.210,28.930,25.720,0,3.210,dem Grunde nach,31.12.2032
160,0503,50,ASGAM,Caritasverband für die Stadt Münster,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55.640,50.180,0,5.460,56.640,51.180,0,5.460,dem Grunde nach,31.12.2032
