SPD-Fraktion,,,,
Zweckbestimmung,Geldwert Haushaltsjahr Vorjahr mehr (+) 2026 2025 weniger (-),,,Erläuterungen
1,2,3,4,5
"1. Gestellung von Personal der kommunalen Körperschaft für die Fraktionsarbeit 1.1 für die Sicherung des Informationsaustauschs, organisatorische Arbeiten und sonstige Dienste (Geschäftsstellenbetrieb) 1.2 für Sachgebiete der Fraktionsarbeit (Fraktionsassistenten) 1.3 für Fahrer von Dienstfahrzeugen 2. Bereitstellung von Fahrzeugen 3. Bereitstellung von Räumen 3.1 für die Fraktionsgeschäftsstelle 3.2 dauernd oder bedarfsweise für die Durchführung von Fraktionssitzungen 4. Bereitstellung einer Büroausstattung 4.1 Büromöbel und -maschinen 4.2 sonstiges Büromaterial 5. Übernahme laufender oder einmaliger Kosten für 5.1 bereitgestellte Räume (Heizung, Reinigung, Beleuchtung) 5.2 Fachliteratur und -zeitschriften 5.3 Telefon, Telefax, Datenübertragungsleitungen 5.4 Rechnerzeiten auf zentraler ADV-Anlage 6. Sonstiges",,,,
