5530San./Umgest. WegeflächenimBezirkWest,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,140.038,440.038
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",50.000-,50.000-,50.000-,,,50.000-,50.000-,50.000-,140.038-,440.038-
