Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
"0010Gewässer,Umbau/ ÖkologischeVerbesserung",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"23.586,00-",1.040.000,1.050.000,550.000,,,750.000,1.100.000,1.100.000,,
AuszahlungfürBaumaßnahmen,"114.672,48",2.026.831,1.400.000,800.000,1.600.000,1.300.000,1.100.000,1.500.000,1.500.000,,
Verpflichtungsermächtigung2026zuLasten,,,,800.000,,,800.000,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,300.000,1.000.000,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"138.258,48-",986.831-,350.000-,250.000-,,,350.000-,400.000-,400.000-,,
