9000Kreditefür Investitionen,,,,,,,,,,,
Einzahlungen aus der Aufnahme von Krediten für Investitionen und wirtschaftlich gleichkommenden Rechtsverhältnissen,"234.985.627,82",581.618.840,421.348.520,266.080.590,,,171.129.780,74.972.550,62.438.430,,
AuszahlungenfürdieTilgung vonKreditenfür Investitionenund wirtschaftlich gleichkommenden Rechtsverhältnissen,"50.283.132,15",66.500.000,62.000.000,83.000.000,0,0,77.000.000,89.000.000,88.000.000,,
Saldo Maßnahme (Einzahlungen ./. Auszahlungen),"184.702.495,67",515.118.840,359.348.520,183.080.590,,,94.129.780,14.027.450-,25.561.570-,,
