Produktbereiche/Produktgruppen,Ordentliche Erträge,Ordentliche,ordentliches,Finanz-,Ergebnis der lfd. Verw- tätigkeit,Außer- ordentl. Ergebnis,Ergebnis des
,,Aufwendungen,Ergebnis,ergebnis,,,Teilhaushaltes*
,EUR,EUR,EUR,EUR,EUR,EUR,EUR
1301 Grün- und Freiflächen,"1.330.830,00","20.078.210,00","18.747.380,00-",,"18.747.380,00-",,"18.747.380,00-"
1302 Friedhöfe,"2.104.590,00","2.143.770,00","39.180,00-",,"39.180,00-",,"39.180,00-"
"1303 Natur, Landschaft, Erholung,Wasserschutz","388.000,00","4.340.570,00","3.952.570,00-",,"3.952.570,00-",,"3.952.570,00-"
1304 Fließende Gewässer,"1.539.600,00","2.197.030,00","657.430,00-","2.000,00-","659.430,00-",,"659.430,00-"
1305 Wald und Forstwirtschaft,"263.770,00","701.170,00","437.400,00-",,"437.400,00-",,"437.400,00-"
13 Natur- und Landschaftspflege,"5.626.790,00","29.460.750,00","23.833.960,00-","2.000,00-","23.835.960,00-",,"23.835.960,00-"
1401 Übergreifender Umweltschutz,"525.540,00","5.427.340,00","4.901.800,00-",,"4.901.800,00-",,"4.901.800,00-"
14 Umweltschutz,"525.540,00","5.427.340,00","4.901.800,00-",,"4.901.800,00-",,"4.901.800,00-"
1501 Anteile an Unternehmen,"18.787.380,00","14.552.110,00","4.235.270,00","11.314.030,00","15.549.300,00",,"15.549.300,00"
1502 Stadtmarketing (MM),,"3.834.380,00","3.834.380,00-",,"3.834.380,00-",,"3.834.380,00-"
1503 Stadthalle Hiltrup,"157.240,00","236.480,00","79.240,00-",,"79.240,00-",,"79.240,00-"
1504 Öffentliche Toilettenanlagen,,"651.590,00","651.590,00-",,"651.590,00-",,"651.590,00-"
15 Wirtschaft und Tourismus,"18.944.620,00","19.274.560,00","329.940,00-","11.314.030,00","10.984.090,00",,"10.984.090,00"
1601 Allgemeine Finanzwirtschaft,"917.250.000,00","177.898.300,00","739.351.700,00","36.470.000,00-","702.881.700,00",,"702.881.700,00"
16 Allgemeine Finanzwirtschaft,"917.250.000,00","177.898.300,00","739.351.700,00","36.470.000,00-","702.881.700,00",,"702.881.700,00"
1701 Rechtlich unselbständige Stiftungen,"17.000,00","31.680,00","14.680,00-",,"14.680,00-",,"14.680,00-"
17 Stiftungen,"17.000,00","31.680,00","14.680,00-",,"14.680,00-",,"14.680,00-"
Summe,"1.684.643.440,00","1.701.368.570,00","16.725.130,00-","21.162.970,00-","37.888.100,00-",,"37.888.100,00-"
