Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4010 IuK-Verkabelung/Netzkomponeten f.Schulen,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"211.667,92",178.144,150.000,150.000,0,0,150.000,150.000,150.000,1.067.881,1.817.881
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"211.667,92-",178.144-,150.000-,150.000-,,,150.000-,150.000-,150.000-,1.067.881-,1.817.881-
