Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0030Entwickl.Bauflächen WohnenundGewerbe,,,,,,,,,,,
Auszahlungaussonstigen Investitionen,"0,00",485.000,485.000,485.000,0,0,485.000,485.000,485.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",485.000-,485.000-,485.000-,,,485.000-,485.000-,485.000-,,
