"4247AlbersloherWeg,Bereich Yorkkaserne",,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",0,0,0,,,0,0,0,0,200.000
AuszahlungfürBaumaßnahmen,"0,00",50.000,50.000,200.000,0,0,500.000,500.000,500.000,50.000,2.300.000
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",50.000-,50.000-,200.000-,,,500.000-,500.000-,500.000-,50.000-,2.100.000-
