Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4087Umbau Friedrich-Ebert-Straße1,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",1.060.172,0,0,0,0,0,0,0,1.060.172,1.060.172
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",1.060.172-,0,0,,,0,0,0,1.060.172-,1.060.172-
