4286SteinfurterStr-Urb. StadtquartierBp640,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",10.229,50.000,150.000,0,0,150.000,150.000,150.000,12.174,18.162.174
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",10.229-,50.000-,150.000-,,,150.000-,150.000-,150.000-,12.174-,18.162.174-
