Produktbereiche/Produktgruppen,Ordentliche Erträge,Ordentliche,ordentliches,Finanz-,Ergebnis der lfd. Verw- tätigkeit,Außer- ordentl. Ergebnis,Ergebnis des
,,Aufwendungen,Ergebnis,ergebnis,,,Teilhaushaltes*
,EUR,EUR,EUR,EUR,EUR,EUR,EUR
1301 Grün- und Freiflächen,"1.373.370,00","20.138.550,00","18.765.180,00-",,"18.765.180,00-",,"18.765.180,00-"
1302 Friedhöfe,"2.091.670,00","2.128.980,00","37.310,00-",,"37.310,00-",,"37.310,00-"
"1303 Natur, Landschaft, Erholung,Wasserschutz","410.880,00","4.336.550,00","3.925.670,00-",,"3.925.670,00-",,"3.925.670,00-"
1304 Fließende Gewässer,"1.664.060,00","2.166.980,00","502.920,00-","2.000,00-","504.920,00-",,"504.920,00-"
1305 Wald und Forstwirtschaft,"263.770,00","697.720,00","433.950,00-",,"433.950,00-",,"433.950,00-"
13 Natur- und Landschaftspflege,"5.803.750,00","29.468.780,00","23.665.030,00-","2.000,00-","23.667.030,00-",,"23.667.030,00-"
1401 Übergreifender Umweltschutz,"854.580,00","5.434.270,00","4.579.690,00-",,"4.579.690,00-",,"4.579.690,00-"
14 Umweltschutz,"854.580,00","5.434.270,00","4.579.690,00-",,"4.579.690,00-",,"4.579.690,00-"
1501 Anteile an Unternehmen,"18.787.380,00","13.260.480,00","5.526.900,00","9.594.880,00","15.121.780,00",,"15.121.780,00"
1502 Stadtmarketing (MM),,"3.759.780,00","3.759.780,00-",,"3.759.780,00-",,"3.759.780,00-"
1503 Stadthalle Hiltrup,"157.240,00","235.520,00","78.280,00-",,"78.280,00-",,"78.280,00-"
1504 Öffentliche Toilettenanlagen,,"476.530,00","476.530,00-",,"476.530,00-",,"476.530,00-"
15 Wirtschaft und Tourismus,"18.944.620,00","17.732.310,00","1.212.310,00","9.594.880,00","10.807.190,00",,"10.807.190,00"
1601 Allgemeine Finanzwirtschaft,"904.050.000,00","171.675.300,00","732.374.700,00","34.670.000,00-","697.704.700,00",,"697.704.700,00"
16 Allgemeine Finanzwirtschaft,"904.050.000,00","171.675.300,00","732.374.700,00","34.670.000,00-","697.704.700,00",,"697.704.700,00"
1701 Rechtlich unselbständige Stiftungen,"17.000,00","31.680,00","14.680,00-",,"14.680,00-",,"14.680,00-"
17 Stiftungen,"17.000,00","31.680,00","14.680,00-",,"14.680,00-",,"14.680,00-"
Summe,"1.660.850.270,00","1.686.533.180,00","25.682.910,00-","21.082.120,00-","46.765.030,00-",,"46.765.030,00-"
