18,Steuern,"330.000,00 €","330.000,00 €","330.000,00 €","330.000,00 €","330.000,00 €"
19,Jahresüberschuss,"3.688.000,00 €","3.367.000,00 €","3.399.000,00 €","3.412.000,00 €","3.428.000,00 €"
