Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0000Beschaffung Veterinär-u.Lebensmittelang.,,,,,,,,,,,
Einzahlungausder VeräußerungvonSachanlagen,"12.515,00",3.000,4.000,4.000,,,4.000,4.000,4.000,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"11.940,00",20.000,25.000,22.000,0,0,23.000,24.000,25.000,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"575,00",17.000-,21.000-,18.000-,,,19.000-,20.000-,21.000-,,
