4450Mehrzweckhalle Amelsbüren,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",212.657,0,0,0,0,0,500.000,1.995.000,223.010,2.718.010
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",212.657-,0,0,,,0,500.000-,1.995.000-,223.010-,2.718.010-
