"4240Albersl.Wegsüdl. HiltruperStr,Bp595",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"42.833,09",1.003.768,1.570.000,1.400.000,0,0,100.000,0,0,1.270.016,4.340.016
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"42.833,09-",1.003.768-,1.570.000-,1.400.000-,,,100.000-,0,0,1.270.016-,4.340.016-
