Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4268Aaseesanierung,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"19.162,14",505.987,200.000,200.000,0,0,30.000,30.000,30.000,531.597,2.221.597
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"19.162,14-",505.987-,200.000-,200.000-,,,30.000-,30.000-,30.000-,531.597-,2.221.597-
