,,,,,TVÖD VKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Bezeichnung,,,E15,,,E14,,,E13,,,E12,,,E11,,,E10,,,E09C,,,E09B,,,E09A,,,E08,,,E07,,,E06,,,E05,,,E04,,,E03,,,E02,,
0502,SICHERUNG DES LEBENSUNTERHALTS (OHNE SGB II),,,,,,,,,,,,"1,30",,,"2,00",,,"1,75",,,"13,33",,,"0,50",,,,,,"1,00",,,,,,"0,50",,,"1,60",,,,,,,,,,,
0503,SICHERUNG BESONDERER SOZIALER BEDARFE,,,,,,"1,50",,,,,,"2,70",,,"1,50",,,"4,60",,,"7,36",,,"0,75",,,"1,50",,,"5,00",,,,,,"1,50",,,"3,17",,,"23,50",,,"0,50",,,,,
0504,WOHNGELD,,,,,,,,,,,,,,,,,,"0,60",,,"2,50",,,,,,"16,92",,,,,,,,,"0,70",,,,,,,,,,,,,,
,,Summen: Produktbereich 05,,,"0,00",,,"5,50",,,"0,00",,,"13,00",,,"10,25",,,"14,95",,,"113,14",,,"2,75",,,"22,42",,,"27,50",,,"0,00",,,"9,68",,,"9,91",,,"26,00",,,"5,35",,,"0,00",
,,Soziale Leistungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0601,FÖRDERUNG VON KINDERN IN TAGESBETREUUNG,,,"1,00",,,"1,00",,,,,,"1,00",,,,,,"0,80",,,,,,"8,50",,,"0,25",,,"12,83",,,,,,"3,20",,,"0,78",,,"1,77",,,,,,"13,56",,
0602,KINDER- UND JUGENDARBEIT,,,"0,50",,,,,,,,,"0,50",,,"1,50",,,"0,20",,,,,,"2,18",,,"2,50",,,"0,50",,,"1,00",,,"4,40",,,"0,28",,,"1,00",,,"2,12",,,"0,14",,
0603,FÖRDERUNG VON BENACHTEILIGTEN JUNGEN MENSCHEN,,,"0,50",,,,,,,,,"0,50",,,"0,50",,,"0,25",,,,,,,,,,,,,,,,,,"1,05",,,"0,50",,,,,,,,,,,
