InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",9.000,9.000,9.000,,,9.000,9.000,9.000,,
Auszahlung,"5.400,00-",9.000,9.000,9.000,0,0,9.000,9.000,9.000,,
Saldo(Einzahlungen./. Auszahlungen),"5.400,00",0,0,0,,,0,0,0,,
