InvestitionsmaßnahmenunterhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
Einzahlung,"0,00",0,0,0,,,0,0,0,,
Auszahlung,"5.021,63",0,81.000,50.000,0,0,0,0,0,,
Saldo(Einzahlungen./. Auszahlungen),"5.021,63-",0,81.000-,50.000-,,,0,0,0,,
