Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
"4171Kanalstraße,Promenade- Ring",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"0,00",0,0,600.000,0,0,50.000,50.000,50.000,29.892,3.779.892
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"0,00",0,0,600.000-,,,50.000-,50.000-,50.000-,29.892-,3.779.892-
