Produktbereiche/Produktgruppen,Einzahlung,Auszahlung,Saldo aus,Einz. aus,Ausz. aus,Saldo aus,Finanzmittel-,Einz. aus Fi-,Ausz. aus Fi-,Saldo aus Fi-,Verpflich-
,aus lfd. Verw-,aus lfd. Verw-,lfd. Verw-,Investitions-,Investitions-,Investitions-,überschuss/,nanzierungs-,nanzierungs-,nanzierungs-,tungsermäch-
,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,tätigkeit,-fehlbetrag,tätigkeit,tätigkeit,tätigkeit,tigungen
0501 Leist. d. Grundsicherung f. Arbeitsuchende,197.969.420,224.965.210,26.995.790-,,4.000,4.000-,26.999.790-,,,,
0502 Sicherung des Lebensunterhalts,71.682.020,91.638.230,19.956.210-,,734.520,734.520-,20.690.730-,,,,
0503 Sicherung besonderer sozialer Bedarfe,6.815.860,72.293.290,65.477.430-,,268.290,268.290-,65.745.720-,,,,
0504 Wohngeld,3.000,2.610.670,2.607.670-,,,,2.607.670-,,,,
05 Soziale Hilfen,276.470.300,391.507.400,115.037.100-,,1.006.810,1.006.810-,116.043.910-,,,,
0601 Förderung von Kindern in Tagesbetreuung,127.558.050,215.105.450,87.547.400-,,14.337.750,14.337.750-,101.885.150-,,,,14.152.000-
0602 Kinder- und Jugendarbeit,28.090.730,45.888.130,17.797.400-,,100.550,100.550-,17.897.950-,,,,
0603 Förd. v. benachteiligten jungen Menschen,545.400,10.610.630,10.065.230-,,7.690,7.690-,10.072.920-,,,,
0604 Familienförderung,363.890,5.797.880,5.433.990-,,1.620,1.620-,5.435.610-,,,,
0605 Erzieh. und wirtsch. Hilfen für Familien,26.491.330,116.730.780,90.239.450-,,1.080,1.080-,90.240.530-,,,,
"06 Kinder-, Jugend- und Familienhilfe",183.049.400,394.132.870,211.083.470-,,14.448.690,14.448.690-,225.532.160-,,,,14.152.000-
0701 Gesunfheitsdienste,3.089.970,16.815.500,13.725.530-,,10.000,10.000-,13.735.530-,,,,
07 Gesundheitsdienste,3.089.970,16.815.500,13.725.530-,,10.000,10.000-,13.735.530-,,,,
"0801 Sportinfrastruktur, Sportförd., Sportveranstalt.",1.578.120,7.444.750,5.866.630-,1.868.640,63.865.910,61.997.270-,67.863.900-,,,,66.305.500-
0802 Bäder,2.293.590,8.693.430,6.399.840-,,1.333.950,1.333.950-,7.733.790-,,,,2.181.100-
08 Sportförderung,3.871.710,16.138.180,12.266.470-,1.868.640,65.199.860,63.331.220-,75.597.690-,,,,68.486.600-
"0901 Stadt- u.Regionalentwickl., Stadtplanung",1.870.840,10.761.970,8.891.130-,,1.336.070,1.336.070-,10.227.200-,,,,
"0902 Vermessung, Kataster und Geoinformation",1.524.710,8.808.770,7.284.060-,1.020,235.000,233.980-,7.518.040-,,,,
"09 Räuml.Planung/Entwickl.,Geoinformation",3.395.550,19.570.740,16.175.190-,1.020,1.571.070,1.570.050-,17.745.240-,,,,
1001 Bauaufsicht und baurechtliche Beratung,3.421.800,7.098.900,3.677.100-,420.000,5.000,415.000,3.262.100-,,,,
1002 Denkmalpflege und Denkmalschutz,414.000,1.775.690,1.361.690-,,,,1.361.690-,,,,
1003 Wohnen,395.290,6.429.200,6.033.910-,,,,6.033.910-,,,,
10 Bauen und Wohnen,4.231.090,15.303.790,11.072.700-,420.000,5.000,415.000,10.657.700-,,,,
1101 Abwasserbeseitigung,72.191.620,31.801.860,40.389.760,7.950.000,44.180.000,36.230.000-,4.159.760,,,,40.250.000-
1102 Abfallwirtschaft (AWM),4.000.000,,4.000.000,,,,4.000.000,,,,
11 Ver- und Entsorgung,76.191.620,31.801.860,44.389.760,7.950.000,44.180.000,36.230.000-,8.159.760,,,,40.250.000-
1201 Verkehrsflächen und -anlagen,20.659.160,50.778.260,30.119.100-,18.110.000,34.457.000,16.347.000-,46.466.100-,,,,34.700.000-
"12 Verkehrsflächen und -anlagen, ÖPNV",20.659.160,50.778.260,30.119.100-,18.110.000,34.457.000,16.347.000-,46.466.100-,,,,34.700.000-
1301 Grün- und Freiflächen,960.700,17.861.060,16.900.360-,441.310,4.870.090,4.428.780-,21.329.140-,,,,3.653.900-
1302 Friedhöfe,1.014.170,1.877.010,862.840-,2.000,160.970,158.970-,1.021.810-,,,,97.700-
"1303 Natur, Landschaft, Erholung,Wasserschutz",290.260,3.938.660,3.648.400-,88.570,243.010,154.440-,3.802.840-,,,,
1304 Fließende Gewässer,973.560,1.642.360,668.800-,1.550.000,2.402.000,852.000-,1.520.800-,,,,4.100.000-
1305 Wald und Forstwirtschaft,263.770,636.440,372.670-,4.400,3.960,440,372.230-,,,,
13 Natur- und Landschaftspflege,3.502.460,25.955.530,22.453.070-,2.086.280,7.680.030,5.593.750-,28.046.820-,,,,7.851.600-
"1401 Umweltschutz - Klima, Lärm, Boden,Abfall",854.580,5.278.500,4.423.920-,,1.120,1.120-,4.425.040-,,,,
14 Umweltschutz,854.580,5.278.500,4.423.920-,,1.120,1.120-,4.425.040-,,,,
1501 Anteile an Unternehmen,28.382.260,13.208.440,15.173.820,34.000,1.500.500,1.466.500-,13.707.320,,,,
1502 Stadtmarketing (MM),,3.759.780,3.759.780-,,,,3.759.780-,,,,
1503 Stadthalle Hiltrup,154.000,211.730,57.730-,,20.000,20.000-,77.730-,,,,
1504 Öffentliche Toilettenanlagen,,420.090,420.090-,,499.000,499.000-,919.090-,,,,
15 Wirtschaft und Tourismus,28.536.260,17.600.040,10.936.220,34.000,2.019.500,1.985.500-,8.950.720,,,,
1601 Allgemeine Finanzwirtschaft,915.669.000,242.291.000,673.378.000,82.728.590,110.270.000,27.541.410-,645.836.590,1.130.781.033,849.150.668,281.630.365,
16 Allgemeine Finanzwirtschaft,915.669.000,242.291.000,673.378.000,82.728.590,110.270.000,27.541.410-,645.836.590,1.130.781.033,849.150.668,281.630.365,
Summe,1.618.982.680,1.627.774.390,8.791.710-,136.372.200,534.599.890,398.227.690-,407.019.400-,1.130.781.033,849.150.668,281.630.365,369.280.670-
