0210DarlehenKonvOYGmbH,,,,,,,,,,,
Einzahlungausder VeräußerungvonFinanzanlagen,"5,78",15.800.000,17.400.000,15.800.000,,,5.700.000,15.000.000,15.000.000,,
AuszahlungfürdenErwerbvon Finanzanlagen,"0,00",30.000.000,0,0,0,0,0,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"5,78",14.200.000-,17.400.000,15.800.000,,,5.700.000,15.000.000,15.000.000,,
