Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
4380Beachvolleyballhalle,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"0,00",2.738.190,695.460,0,,,0,0,0,2.738.190,3.433.650
AuszahlungfürBaumaßnahmen,"35.843,77",4.637.650,2.466.410,0,0,0,0,0,0,5.301.586,7.767.996
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"35.843,77-",1.899.460-,1.770.950-,0,,,0,0,0,2.563.396-,4.334.346-
