Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
4015BürgerhausYork,,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"123.699,70",200.462,0,0,0,0,0,0,0,787.919,787.919
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"123.699,70-",200.462-,0,0,,,0,0,0,787.919-,787.919-
