1000Beschaffung Schutzkleidung,,,,,,,,,,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"449.159,39",394.004,400.000,450.000,0,0,450.000,450.000,450.000,3.917.389,6.117.389
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"449.159,39-",394.004-,400.000-,450.000-,,,450.000-,450.000-,450.000-,3.917.389-,6.117.389-
