Lfd.,Produkt-,Amt,Aus-,Empfänger,Verwendungszweck / Zielsetzung,Zuschuss 2026 in €,davon Personal- kosten,davon,davon sonst. Kosten,Zuschuss 2027 in €,davon Personal- kosten,davon,davon sonst. Kosten,verpflichtende/,zeitliche
Nr.,gruppe,,schuss,,,,,Overhead,,,,Overhead,,freiwillige Leistung,Befristung
161,0503,50,ASGAM,Diakonisches Werk Münster e.V.,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55.640,50.180,0,5.460,56.640,51.180,0,5.460,dem Grunde nach,31.12.2032
162,0503,50,ASGAM,Sozialdienst katholischer Frauen e.V.,Leistungen der Betreuungsvereine für die städtische Betreuungsbehörde,55.640,50.180,0,5.460,56.640,51.180,0,5.460,dem Grunde nach,31.12.2032
163,0503,50,ASGAM,Guter Hirte Münster gGmbH,"Quartiersentwicklung Mauritz-Ost: ""Alte Apotheke""",39.130,39.130,0,0,39.910,39.910,0,0,dem Grunde nach,31.12.2030
164,0503,50,ASGAM,Chance e.V.,Gewaltberatungs- und Deeskalationsprojekt,34.530,29.530,0,5.000,35.120,30.120,0,5.000,freiwillig,31.12.2032
165,0503,50,ASGAM,draußen! e.V.,Unterstützung für hilfsbedürftige Mitbürger*innen,17.070,15.680,0,1.390,17.380,15.990,0,1.390,dem Grunde nach,31.12.2028
166,0503,50,ASGAM,MuM-Mehrgenerationenhaus und Mütterzentrum e.V.,Begegnungs- und Beratungsangebot für alle Generationen und Menschen unterschiedlicher Herkunft und Mileus,110.960,102.460,0,8.500,113.010,104.510,0,8.500,dem Grunde nach,31.12.2030
167,0503,50,ASGAM,Kirchengemeinde St. Marien und St. Josef,"Projekt ""FreiRaum""",11.000,0,0,11.000,11.000,0,0,11.000,dem Grunde nach,31.12.2028
168,0503,50,ASGAM,Verein Bürgernetz e.V.,Seniorenportal,3.300,0,0,3.300,0,0,0,0,freiwillig,31.12.2026
169,0503,50,ASGAM,AFAQ e.V.,niederschwellige Integrationsangebote,72.570,42.390,0,30.180,66.160,40.160,0,26.000,freiwillig,31.12.2028
170,0503,50,ASGAM,Diakonie Münster Beratungs- und BildungsCentrum gGmbH,Quartiersentwicklung Rumphorst,126.700,115.700,0,11.000,129.010,118.010,0,11.000,dem Grunde nach,31.12.2031
171,0503,50,ASGAM,Chance e.V.,"Fachberatungsstelle ""Opferhilfe""",37.220,34.020,0,3.200,37.900,34.700,0,3.200,freiwillig,31.12.2032
172,0503,50,ASGAM,"Arbeiterwohlfahrt, Unterbezirk Münsterland-Recklinghausen","Begegnungszentrum ""Coerde mittendrin""",64.090,48.590,0,15.500,65.060,49.560,0,15.500,dem Grunde nach,31.12.2030
