Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
1020BelastungsausgleichG9,,,,,,,,,,,
EinzahlungausZuwendungen fürInvestitionsmaßnahmen,"2.064.974,34",2.060.000,4.556.880,0,,,0,0,0,7.222.436,11.779.316
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"2.064.974,34",2.060.000,4.556.880,0,,,0,0,0,7.222.436,11.779.316
