Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
"4026SprakelOrtsmitte,BG, Bp458",,,,,,,,,,,
AuszahlungfürBaumaßnahmen,"15.787,41",764.471,350.000,0,0,0,0,0,0,1.219.493,1.569.493
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"15.787,41-",764.471-,350.000-,0,,,0,0,0,1.219.493-,1.569.493-
