Investitionsmaßnahmen,Ergebnis(€),Haushaltsansatz(€),,,Verpflichtungs- ermächtigung(€),,Planung(€),,,bereitge- stelltbisinkl. 2025,Gesamt- ein-u.-aus- zahlungen
,2024,2025,2026,2027,2026,2027,2028,2029,2030,,
InvestitionsmaßnahmenoberhalbderfestgelegtenWertgrenzen,,,,,,,,,,,
0000WaldfriedhofLauheide,,,,,,,,,,,
Einzahlungausder VeräußerungvonSachanlagen,"17.305,00",2.000,2.000,2.000,,,2.000,2.000,2.000,,
AuszahlungfürdenErwerbvon beweglichemAnlagevermögen,"56.270,49",109.650,97.700,97.700,97.700,97.720,97.720,97.720,97.720,,
Verpflichtungsermächtigung2026zuLasten,,,,97.700,,,0,0,0,,
Verpflichtungsermächtigung2027zuLasten,,,,0,,,97.720,0,0,,
SaldoMaßnahme(Einzahlungen ./.Auszahlungen),"38.965,49-",107.650-,95.700-,95.700-,,,95.720-,95.720-,95.720-,,
